Date,Year,Month,Day,Weekday,Region,Revenue,COGS,Gross_Profit,Operating_Expenses,Net_Profit,Units_Sold,Number_of_Transactions,Average_Transaction_Value,Marketing_Spend,Ad_Channel,Website_Visits,New_Customers,Returning_Customers,Customer_Acquisition_Cost,Top_Selling_Category,Customer_Satisfaction_Score,Inventory_Level,Production_Volume,Supplier_Lead_Time_Days
2024-01-01,2024,1,1,Monday,North America,22875,12581,10294,7150,3144,225,117,195.51,1500,Social Media,3750,45,75,33.33,Electronics,4.6,22000,230,5
2024-01-02,2024,1,2,Tuesday,Europe,27450,15098,12352,7540,4812,270,140,196.07,1800,Google Ads,4200,53,90,33.96,Apparel,4.7,21802,245,5
2024-01-03,2024,1,3,Wednesday,Asia,24750,13613,11137,7280,3857,248,125,198.00,1650,Email,3900,48,79,34.38,Home Goods,4.5,21607,235,6
2024-01-04,2024,1,4,Thursday,LATAM,22200,12210,9990,7020,2970,222,114,194.74,1425,Organic,3600,42,75,33.93,Electronics,4.6,21412,215,6
2024-01-05,2024,1,5,Friday,North America,25650,14108,11542,7410,4132,257,132,194.32,1725,Social Media,4050,51,84,33.82,Apparel,4.8,21215,260,5
2024-01-06,2024,1,6,Saturday,Europe,29250,16088,13162,7800,5362,293,150,195.00,1950,Google Ads,4500,57,96,34.21,Home Goods,4.7,21012,275,5
2024-01-07,2024,1,7,Sunday,Asia,26700,14685,12015,7540,4475,267,135,197.78,1800,Email,4200,54,84,33.33,Electronics,4.6,20805,265,6
2024-01-08,2024,1,8,Monday,LATAM,24300,13365,10935,7280,3655,243,125,194.40,1575,Organic,3900,47,81,33.51,Apparel,4.5,20602,245,6
2024-01-09,2024,1,9,Tuesday,North America,28350,15593,12757,7670,5087,284,144,196.88,1875,Social Media,4350,56,91,33.48,Home Goods,4.7,20395,280,5
2024-01-10,2024,1,10,Wednesday,Europe,31500,17325,14175,8060,6115,315,162,194.44,2100,Google Ads,4800,60,105,35.00,Electronics,4.8,20183,305,5
2024-01-11,2024,1,11,Thursday,Asia,28800,15840,12960,7800,5160,288,147,195.92,1950,Email,4500,57,93,34.21,Apparel,4.6,19971,290,6
2024-01-12,2024,1,12,Friday,LATAM,26250,14438,11812,7540,4272,263,135,194.44,1725,Organic,4200,51,87,33.82,Home Goods,4.5,19762,260,6
2024-01-13,2024,1,13,Saturday,North America,30750,16913,13837,7930,5907,308,155,198.39,2025,Social Media,4650,59,99,34.32,Electronics,4.7,19545,305,5
2024-01-14,2024,1,14,Sunday,Europe,33750,18563,15187,8320,6867,338,170,198.53,2250,Google Ads,5100,63,110,35.71,Apparel,4.8,19323,335,5
2024-01-15,2024,1,15,Monday,Asia,31200,17160,14040,8060,5980,312,159,196.23,2100,Email,4800,60,102,35.00,Home Goods,4.6,19099,320,6
2024-01-16,2024,1,16,Tuesday,LATAM,28200,15510,12690,7800,4890,282,144,195.83,1875,Organic,4500,54,93,34.72,Electronics,4.5,18877,280,6
2024-01-17,2024,1,17,Wednesday,North America,33000,18150,14850,8190,6660,330,165,200.00,2175,Social Media,4950,62,107,35.08,Apparel,4.8,18652,325,5
2024-01-18,2024,1,18,Thursday,Europe,36000,19800,16200,8580,7620,360,180,200.00,2400,Google Ads,5400,68,115,35.29,Home Goods,4.9,18422,365,5
2024-01-19,2024,1,19,Friday,Asia,33300,18315,14985,8320,6665,333,168,198.21,2250,Email,5100,63,108,35.71,Electronics,4.7,18190,335,6
2024-01-20,2024,1,20,Saturday,LATAM,30000,16500,13500,8060,5440,300,153,196.08,2025,Organic,4800,57,99,35.53,Apparel,4.6,17960,305,6
2024-01-21,2024,1,21,Sunday,North America,35250,19388,15862,8450,7412,353,177,199.15,2325,Social Media,5250,66,114,35.23,Home Goods,4.8,17725,350,5
2024-01-22,2024,1,22,Monday,Europe,38250,21038,17212,8840,8372,383,192,199.22,2550,Google Ads,5700,72,123,35.42,Electronics,4.9,17485,380,5
2024-01-23,2024,1,23,Tuesday,Asia,35700,19635,16065,8580,7485,357,180,198.33,2400,Email,5400,68,115,35.29,Apparel,4.7,17242,355,6
2024-01-24,2024,1,24,Wednesday,LATAM,32250,17738,14512,8320,6192,323,162,199.07,2175,Organic,5100,60,105,36.25,Home Goods,4.6,16997,320,6
2024-01-25,2024,1,25,Thursday,North America,37500,20625,16875,8710,8165,375,189,198.41,2475,Social Media,5550,71,121,34.86,Electronics,4.8,16750,370,5
2024-01-26,2024,1,26,Friday,Europe,40500,22275,18225,9100,9125,405,204,198.53,2700,Google Ads,6000,75,132,36.00,Apparel,4.9,16496,400,5
2024-01-27,2024,1,27,Saturday,Asia,37800,20790,17010,8840,8170,378,189,200.00,2550,Email,5700,72,126,35.42,Home Goods,4.7,16240,380,6
2024-01-28,2024,1,28,Sunday,LATAM,34500,18975,15525,8580,6945,345,174,198.28,2325,Organic,5400,63,114,36.90,Electronics,4.6,15982,340,6
2024-01-29,2024,1,29,Monday,North America,39750,21863,17887,8970,8917,398,199,200.00,2625,Social Media,5850,74,129,35.47,Apparel,4.8,15720,395,5
2024-01-30,2024,1,30,Tuesday,Europe,42750,23513,19237,9360,9877,428,214,199.77,2850,Google Ads,6300,78,140,36.54,Home Goods,4.9,15453,425,5
